Unnamed: 0,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
18,Acu,8454289,527293744,37852651,False,1000,True,0.1923076923076923,1.0,1780714814
19,Acu,5489165,527293744,37852651,False,1000,True,0.3461538461538461,1.0,1780714814
20,Gorum,6841376,527293744,926660616,False,145,True,0.2884615384615384,0.6818181818181818,1780715423
21,Gorum,7180258,527293744,926660616,False,116,True,0.2788461538461538,0.7727272727272727,1780715423
22,Gorum,1925286,527293744,926660616,False,546,True,0.2019230769230769,0.6363636363636364,1780715423
23,Gorum,1838793,527293744,926660616,False,135,True,0.25,0.6363636363636364,1780715423
24,Gorum,8791432,527293744,926660616,False,180,True,0.3076923076923077,0.6818181818181818,1780715423
25,Gorum,7295608,527293744,926660616,False,211,True,0.2403846153846154,0.7727272727272727,1780715423
26,Gorum,6211748,527293744,926660616,False,183,True,0.1923076923076923,0.5909090909090909,1780715423
27,Gorum,6507870,527293744,926660616,False,189,True,0.3365384615384615,0.7272727272727273,1780715423
